bedrooms,bathrooms,toilets,parking_space,title,town,state,price,listing_type
3,3,4,4,Terraced Duplexes,Ajah,Lagos,34900000,rent
5,4,5,3,Detached Duplex,Ajah,Lagos,68000000,rent
5,6,7,5,Detached Duplex,Lekki,Lagos,120000000,rent
3,4,4,3,Detached Bungalow,Lekki,Lagos,33000000,rent
5,6,6,4,Detached Duplex,Lekki,Lagos,110000000,rent
4,5,5,4,Detached Duplex,Lekki,Lagos,90000000,rent
5,5,6,4,Terraced Duplexes,Gaduwa,Abuja,38000000,rent
5,5,6,4,Detached Duplex,Lekki,Lagos,250000000,sale
4,5,5,4,Detached Duplex,Guzape District,Abuja,180000000,sale
3,3,4,4,Detached Bungalow,Ajah,Lagos,45000000,rent
5,5,6,8,Detached Duplex,Dakwo,Abuja,80000000,rent
5,6,7,3,Detached Duplex,Lekki,Lagos,70000000,rent
4,4,5,4,Terraced Duplexes,Lekki,Lagos,160000000,sale
5,5,6,1,Detached Duplex,Asokoro District,Abuja,150000000,sale
4,4,5,3,Terraced Duplexes,Victoria Island (Vi),Lagos,180000000,sale
4,4,5,5,Detached Duplex,Ajah,Lagos,65000000,rent
3,5,5,4,Detached Bungalow,Lokogoma District,Abuja,40000000,rent
4,4,5,2,Terraced Duplexes,Lekki,Lagos,55000000,rent
4,4,5,4,Detached Duplex,Lekki,Lagos,74000000,rent
4,5,5,4,Detached Duplex,Ajah,Lagos,75000000,rent
4,5,5,4,Detached Duplex,Ojodu,Lagos,85000000,rent
4,4,5,2,Terraced Duplexes,Lekki,Lagos,120000000,rent
5,5,6,5,Detached Duplex,Lekki,Lagos,125000000,rent
4,4,4,4,Detached Duplex,Lekki,Lagos,65000000,rent
4,5,5,4,Terraced Duplexes,Utako,Abuja,80000000,rent
4,5,5,4,Detached Duplex,Lekki,Lagos,75000000,rent
3,3,4,3,Terraced Duplexes,Lekki,Lagos,45000000,rent
4,5,5,4,Detached Duplex,Ajah,Lagos,35000000,rent
4,4,5,2,Terraced Duplexes,Lekki,Lagos,47000000,rent
5,5,5,4,Detached Duplex,Lekki,Lagos,145000000,rent
4,5,5,4,Terraced Duplexes,Lugbe District,Abuja,50000000,rent
5,5,6,4,Detached Duplex,Ajah,Lagos,95000000,rent
5,5,6,3,Semi Detached Duplex,Lekki,Lagos,160000000,sale
5,5,6,5,Detached Duplex,Lekki,Lagos,150000000,sale
3,3,4,4,Terraced Duplexes,Katampe,Abuja,75000000,rent
4,4,5,2,Semi Detached Duplex,Lekki,Lagos,70000000,rent
4,6,6,4,Semi Detached Duplex,Ikoyi,Lagos,240000000,sale
4,5,5,4,Block of Flats,Magodo,Lagos,30000000,rent
4,5,5,4,Terraced Duplexes,Lekki,Lagos,140000000,rent
4,4,5,2,Terraced Duplexes,Life Camp,Abuja,60000000,rent
4,5,5,3,Detached Duplex,Lekki,Lagos,85000000,rent
4,5,5,4,Detached Duplex,Lekki,Lagos,80000000,rent
5,5,5,4,Detached Duplex,Kubwa,Abuja,60900000,rent
